id,created_at,hash,provider,job_id,price,size,title,image_url,description,address_full,link,numeric_price,numeric_size,price_per_sqm,numeric_rooms,year_built,last_refurbishment_year,condition,interior_quality,flat_type,street,zip_code,city,energy_class,heating_type,energy_source,service_charge,additional_purchase_costs,has_balcony,has_garden,has_kitchen,has_cellar,has_lift,is_barrier_free,price_indicator_percent,published_text,is_private,is_active,change_set
fB3nFf71o1cPcuin68xc2,1761155849084,1de87706170652d33d8326f6058c2353a574ab8e5354156f4aaafcc8acda5d4a,immowelt,r4BXx26X2u0mQlKhd0ZVG,439.000 € 3.281 €/m²,3 Zimmer·128 m²·1. Geschoss,"Neckargartach, Heilbronn / Neckargartach (74078)",https://mms.immowelt.de/e/8/3/6/e83612a4-80f5-499b-9b36-69a476811b68.jpg?ci_seal=39f911da1e26ede2cff3b93bd804eacceab8da0a&w=525&h=394,"Diese traumhafte 3-Zimmer-Wohnung begeistert durch ihre besondere Atmosphäre und das großzügige Raumgefühl. Durch die Dachgauben wirken alle Räume hell, offen und lichtdurchflutet. Die Wohnung befind...",NULL,https://www.immowelt.de/expose/86ea7252-1d6d-4fad-9307-45b6398dfd86?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26featuresIncluded%3DBalcony_Terrace%26locations%3DAD08DE5420%26yearOfConstructionMin%3D1985%26order%3DDateDesc#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,439000.0,128.0,3429.69,3.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,1,NULL
_CF5_j0yW7ZUE4r-GBh2z,1761155849085,aa07ce0e238977c40a855ab762b545f868e8b1e97a8442d4aae355218642de6f,immowelt,r4BXx26X2u0mQlKhd0ZVG,425.000 € 4.722 €/m²,"3,5 Zimmer·90 m²·1. Geschoss",Heilbronn (74074),https://mms.immowelt.de/0/d/d/0/0dd06781-6fac-4f66-bf22-4825508619f4.jpg?ci_seal=51ef4556bae057985ee5f261e106fec3dcd9215d&w=626&h=470,"Diese attraktive stylische 3,5-Zimmer-Wohnung in exponierter Wohnlage von Heilbronn-Ost nahe dem Pfühlpark besticht durch folgende Highlights: - offene Planung zwischen Küche, Essen und Wohnen schaff...",NULL,https://www.immowelt.de/expose/30793c92-7d76-4786-b5a0-b2f9be2f9cd8?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26featuresIncluded%3DBalcony_Terrace%26locations%3DAD08DE5420%26yearOfConstructionMin%3D1985%26order%3DDateDesc#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,425000.0,90.0,4722.22,3.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,1,NULL
sd7f7JIsRVUeyfFJvuhm5,1761155849085,e28d4d95c1edf4d0889ae55d353ff2a969d642163e8b698ea67bf7c9ea2c5c90,immowelt,r4BXx26X2u0mQlKhd0ZVG,320.000 € 3.478 €/m²,3 Zimmer·92 m²·2. Geschoss·frei ab 01.05.2026,"Hohenloherstrasse 1, Horkheim, Heilbronn (74081)",https://mms.immowelt.de/b/c/4/f/bc4f5c77-4b79-4c89-8fef-b85c3f6f4897.jpg?ci_seal=761142dd673fa99fab72dcb471ae16b6ed40b05d&w=626&h=470,Treten Sie ein in ein lichtdurchflutetes Zuhause mit offenem Grundriss und wohnlichem Loft-Flair. Das großzügige Wohnzimmer mit Galerie vermittelt sofort ein Gefühl von Freiheit und Geborgenheit zugl...,NULL,https://www.immowelt.de/expose/d27ddfb9-795f-41bd-9b29-d31f0fe7813a?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26featuresIncluded%3DBalcony_Terrace%26locations%3DAD08DE5420%26yearOfConstructionMin%3D1985%26order%3DDateDesc#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,320000.0,92.0,3478.26,3.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,1,NULL
AwHYCHbxNjseyugGUHCL0,1761155849085,0efcc9a5258de891d2447ba8ee4911fa1116bfac2bd3353550251640a629004d,immowelt,r4BXx26X2u0mQlKhd0ZVG,Preis auf Anfrage,"6,5 Zimmer·204,9 m²","Böckingen, Heilbronn (74080)",https://mms.immowelt.de/6/4/6/1/6461fb6c-848c-45f9-92b0-a35a31f7255e.jpg?ci_seal=44e8ad8ec8f58aedfcafa0655e2081d47f8746bc&w=626&h=470,Jetzt kaufen und Ende 2026 einziehen. Der Verkäufer wird in diesem Zeitraum zum Mieter! Diese besondere und pfiffig geschnittene Maisonette-Wohnung befindet sich im Dachgeschoss eines sehr gepflegten...,NULL,https://www.immowelt.de/expose/3049cf0e-5bb6-42e9-8f21-f5071362a3af?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26featuresIncluded%3DBalcony_Terrace%26locations%3DAD08DE5420%26yearOfConstructionMin%3D1985%26order%3DDateDesc#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,NULL,204.9,NULL,6.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,1,NULL
d6cp4bs4o4Khi7Kv67k85,1761155849085,7a08d59efaeabc1e86bf3bcf347309077e92cf612cc176fb6a8b282ed823d4b1,immowelt,r4BXx26X2u0mQlKhd0ZVG,1.190.000 € 6.263 €/m²,4 Zimmer·190 m²·2. Geschoss,Heilbronn (74072),https://mms.immowelt.de/0/d/c/7/0dc7dcd2-3397-4ede-8cff-78d528f52726.jpg?ci_seal=b20ec6039d60a82f465f7ad18ee5d57ba2ce3ea5&w=525&h=394,"Zum Verkauf steht ein exklusives Penthouse in Heilbronn, das keine Wohnwünsche offenlässt. Die luxuriöse Wohnung, im Jahr 2015 in massiver Bauweise errichtet, präsentiert sich in einem neuwertigen Zu...",NULL,https://www.immowelt.de/expose/ee6da1a9-a8fc-4332-b2a0-93b1e3298cc4?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26featuresIncluded%3DBalcony_Terrace%26locations%3DAD08DE5420%26yearOfConstructionMin%3D1985%26order%3DDateDesc#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,1190000.0,190.0,6263.16,4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,1,NULL
eycoBnbOF700MkoXsYLpO,1761155849085,3117400050c7e84ce16bb123941014a3ceeba29147ff79361193b79ec59a37f9,immowelt,r4BXx26X2u0mQlKhd0ZVG,334.900 € 4.180 €/m²,"3,5 Zimmer·80,1 m²·EG","Biberach, Heilbronn / Biberach (74078)",https://mms.immowelt.de/5/7/b/2/57b2a31a-d815-452f-af00-3ae9a5e577ad.jpg?ci_seal=e9ad495395c6c1dc8f19a4651e68fd44c367ba48&w=525&h=394,"Die hier zum Verkauf stehende praktisch geschnittene Erdgeschoss-Wohnung mit Garten befindet sich in einem gepflegten Mehrfamilienhaus, das im Jahr 2006 voll unterkellert und ausgestattet mit Tiefgar...",NULL,https://www.immowelt.de/expose/7a2d7c87-329c-4266-953c-1a70db328bcf?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26featuresIncluded%3DBalcony_Terrace%26locations%3DAD08DE5420%26yearOfConstructionMin%3D1985%26order%3DDateDesc#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,334900.0,80.1,4181.02,3.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,1,NULL
qMIwlBXW9ZfpVIRHqpLu0,1761155849085,cb287af3f51aa2c6bdbddb30c9b76be6653e13a27a29cc89a9f1ad975aa07745,immowelt,r4BXx26X2u0mQlKhd0ZVG,289.000 € 3.568 €/m²,3 Zimmer·81 m²·2. Geschoss,"Frankenbach, Heilbronn (74078)",https://mms.immowelt.de/1/b/f/8/1bf82d8e-c1c9-44b8-b468-d044441774f0.jpg?ci_seal=63475b3b999a88c16618c4be50a4fb4486867f33&w=626&h=470,"Diese charmante und zeitgemäß ausgestattete 3-Zimmer-Wohnung im 2. Obergeschoss bietet mit ca. 81m² Wohnfläche den perfekten Rückzugsort für Paare, kleine Familien oder anspruchsvolle Singles. Die Wo...",NULL,https://www.immowelt.de/expose/6ed30f2a-1b9b-4456-9d6c-6f505715a65b?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26featuresIncluded%3DBalcony_Terrace%26locations%3DAD08DE5420%26yearOfConstructionMin%3D1985%26order%3DDateDesc#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,289000.0,81.0,3567.9,3.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,1,NULL
E7w-n9-7p53PdFofUI5mM,1761155849085,d884a6b72d3213dfcf388881119d1ac4d257e6cf962d091732d8157199fa1360,immowelt,r4BXx26X2u0mQlKhd0ZVG,249.000 € 3.458 €/m²,3 Zimmer·72 m²·1. Geschoss·frei ab 01.07.2026,"Biberach, Heilbronn / Biberach (74078)",https://mms.immowelt.de/8/c/e/5/8ce5cdbf-9c73-4b56-a662-187b2dca6f0e.jpg?ci_seal=44cb2bc7008abc925590729cffde1328af3423f5&w=525&h=394,"""In Zeiten des Wandels ist der Immobilienbesitz die stabilste Anlage."" - Franklin Raines Top gepflegte 3-Zimmer-Wohnung mit Balkon in zentraler Lage Diese attraktive Hochpaterre Wohnung im 1. Oberges...",NULL,https://www.immowelt.de/expose/c427e512-aefa-4ab7-8206-1415ce045ea8?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26featuresIncluded%3DBalcony_Terrace%26locations%3DAD08DE5420%26yearOfConstructionMin%3D1985%26order%3DDateDesc#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,249000.0,72.0,3458.33,3.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,1,NULL
CCmOlN6eYcbhX_5yQMqmi,1761155849085,21c155195e13bb993d445187f18f6114330e37c493fcc50d05dc6cd960c4beca,immowelt,r4BXx26X2u0mQlKhd0ZVG,690.000 € 5.476 €/m²,4 Zimmer·126 m²,Heilbronn (74074),https://mms.immowelt.de/e/c/3/2/ec328bb4-174b-4fa4-a0d8-78d4fb371283.jpg?ci_seal=92ddccea6b4cfad0b5222b67a4b4fb814ef08850&w=626&h=470,"Willkommen in Ihrem neuen Zuhause! Dieses beeindruckende Penthouse am ""Lerchenberg"" im Heilbronner Osten bietet Ihnen nicht nur einen beeindruckenden und ungestörten Ausblick, sondern auch eine Vielz...",NULL,https://www.immowelt.de/expose/96dcd464-2b10-41fb-b7dd-d42855149bf5?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26featuresIncluded%3DBalcony_Terrace%26locations%3DAD08DE5420%26yearOfConstructionMin%3D1985%26order%3DDateDesc#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,690000.0,126.0,5476.19,4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,1,NULL
Gm7CuIlcHQ3j6fPNWIm2g,1761155849085,4c4cdb5c358c990f21674dbd9545c3a852ff74faf7e5b28dc03c158309188e9d,immowelt,r4BXx26X2u0mQlKhd0ZVG,549.000 € 4.692 €/m²,4 Zimmer·117 m²·3. Geschoss,Heilbronn (74072),https://mms.immowelt.de/3/0/7/5/30753d96-7e9c-414e-a922-ce933cf26804.jpg?ci_seal=09610e004ea164efa78d2eeade66e746e2313795&w=525&h=394,"""Immobilien sind wie Menschen - sie neigen dazu, mit der Zeit an Wert zu gewinnen."" - John Paulson Diese Wohnung ist ein echtes Zuhause - modern, gut durchdacht und in zentraler Lage mit viel Lebensq...",NULL,https://www.immowelt.de/expose/816e5246-0f80-4666-8543-6def266c3d3b?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26featuresIncluded%3DBalcony_Terrace%26locations%3DAD08DE5420%26yearOfConstructionMin%3D1985%26order%3DDateDesc#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,549000.0,117.0,4692.31,4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,1,NULL
